time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21/Oct/2021:10:01:10,4262063,1572605,1572605,2712735,1400683,4929060,13190266,4538968,1875954,1875954,4929060,2164662,2696564,20345735,4340420,1467204,17855988,3985247,4538968,1400683,2001044,4030992,1572605,5164623,1759606,2567408,4538968,3189505,2089950,1875954,2718659,1875954,3189505,1875954,1400683,2100364,3186708,5250955,2168764,4340420,4457565,4929060,4929060,3852726,2567408,2696564,2049435,1875954,8405747,4087082
21/Oct/2021:10:01:15,4419848,4030992,2696564,2567408,2164662,2164662,4929060,6968607,1875954,2936356,4419848,2567408,4087082,4538968,3189505,17841322,2751556,1400683,4929060,3865724,1875954,6102224,1376101,17868353,30130882,2696564,5250955,2164662,3852726,3901167,3189505,20341639,5040266,2751556,1376101,4087082,1572605,8405747,3852726,2164662,2164662,1467204,2936356,4030992,2718659,17855988,8405747,2696564,2751556,6968607
21/Oct/2021:10:01:20,2567408,3865724,3852726,4929060,2567408,6102224,2567408,1875954,4030992,4419848,1875954,2469227,17882193,8405747,8405747,1400683,1400683,1875954,1875954,4419848,2696564,4030992,8405747,8405747,2168764,8405747,4087082,3189505,2164662,2567408,3241845,20341639,20345735,4457565,5250955,8405747,1400683,2567408,3852726,8405747,4457565,4340420,1759260,2147571,2696564,1875954,13057514,13091891,3901167,2712735
21/Oct/2021:10:01:25,4538968,3985247,3189505,1875954,2164662,3926802,2737574,2168764,5040266,4457565,2751556,2696564,4538968,4929060,4929060,1536185,8405747,2696564,1572605,2696564,1467204,2454558,13091891,2164662,4030992,2718555,2164662,1467192,4929060,1400775,2567408,3162755,20345735,1879324,2168764,1875954,17864257,8405747,2696564,8405747,1875954,8405747,20341639,4929060,4419848,20345735,3176600,1491588,2696564,2164662
21/Oct/2021:10:01:30,1395728,17855988,17855988,2931782,2567408,4087082,3241845,4929060,17855988,2164662,3865724,8405747,3672129,30130882,1875954,5250955,2567408,2001044,1572605,2089950,2712735,1875954,1400683,3189505,1492115,2936356,13091891,3101029,1875954,4419848,5250955,3189505,2696564,1875954,1395728,17942061,4340420,3162755,2567408,2936356,2164662,1495670,4340420,1488090,4929060,1572605,17868353,2696564,3189505,2737574
21/Oct/2021:10:01:35,3901167,8405747,4457565,1376101,3176600,1400683,1400683,1875954,4030992,2696564,4030992,20341639,1400683,3852726,4538968,2197430,1495670,2936356,5250955,8405747,4929060,2696564,2430078,1875954,2168764,3975430,1572605,3162755,3901167,2164662,2696564,3189505,1400683,2164662,4419848,4929060,1759260,2168764,8405747,17855988,3162755,5196890,1467204,2567408,2164662,1875723,2164662,4030992,4929060,2941217
21/Oct/2021:10:01:40,4929060,4030992,2696564,8405747,4929060,2168764,4929060,17864257,8405747,1400683,7172368,13190266,2712735,1395760,2696564,20341639,1572605,4929060,2100364,5040266,1875954,2168764,2737574,20345735,1467204,1400683,4340420,2751556,3162755,1759260,4538968,2168764,1875954,3162755,1875954,9063384,8405747,4340420,8405747,17956901,1879324,3162755,20337543,2696564,8405747,4538968,8405747,8405747,2205646,2696564
21/Oct/2021:10:01:45,13190266,19155668,1875954,2696564,4030992,8405747,1875954,1759260,8405747,20341639,2696564,2164662,1400683,4929060,20341639,8405747,20345735,3857782,6968607,5069727,4030992,8405747,3102173,4087082,1400683,8405747,3975430,2751556,1875954,5163385,1875954,2197430,1875954,3975430,4929060,4929060,4929060,4457565,2164662,2751556,1572605,1400683,3174846,2696564,1572605,1492115,17855988,1875954,5040266,4030992
21/Oct/2021:10:01:50,1400683,1875954,1875954,20345735,1875954,1492115,8405747,1495670,2696564,2168764,2089950,3857782,4215517,1759215,13091891,4929060,1495670,8405747,13091891,2696564,20341639,1492115,1492115,1759606,4929060,3162755,1400775,2751556,4419848,1875954,17882193,8405747,1400683,2751556,1572605,2168764,17855988,13092463,17855988,2168764,1759260,1400775,3162755,1572605,5164623,4929060,1495670,20345735,8405747,3241869
21/Oct/2021:10:01:55,30130882,1875954,1572605,2751556,17942061,20341639,2712735,1400683,1875954,4538968,7172368,1875954,1495670,7172368,17855988,2751556,4929060,2567408,2936356,2718555,3975430,20341639,5040266,1945786,1400683,2751556,17882193,17831241,2168764,1400683,20345735,1572605,1376101,1572605,30130882,4929060,4538968,2164662,5016029,2696564,3189505,1875954,1467204,5016029,30130882,1400683,3985247,2751556,1875954,20345735
