device_name,bandwidth
f01e025e28469234caa30b165e6772f6,52428800
d8e9398457a5ed74e0c061805e67469e,52428800
c63a941e84000aa40b1685ef5e6769cd,52428800
b6aa619cf4aa78775332aaeb5e674835,52428800
88bbe9417aca523fe008dc135e674a21,52428800
85ac7583b228e0c5f86f1bc15e676888,52428800
2bbff2a9a3f4e6fe867efd275e677411,52428800
587984f238d81b3cd257c44d5e676b56,52428800
5f22d7c80ec07ca198ccb6495e674373,52428800
695448968cc24b0503b599015e670ed8,52428800
e457355a514c4ef48212451181221baa,1073741824
d2f09d14cb6240b7bfb0d59f322090df,5138022400
129545ae199441228edf7c2dd4436321,5242880000
bb5baf36eda24ba3a911ca369a92c768,5242880000
e4503ea98dc04aecbefe6c34af2c7550,1942398960
e4d57d0b5ad54d85abe5e9adc78a5fe7,3145728000
b8e583aa0f2c4cee93dcf084815be1ad,2411724800
6b77c436066c48a4b6ff3e9651d1ae7e,4928307200
ee616ffc38e84c65b584719b13af0bc5,2621440000
607a1d517fea42599ea7e8c5e22dfcc7,943718400
1-123123,1048576000
1-002341,104857600000
b785ce4902dd4a61be4c249562051af0,104857600
b3fd2beaaa6d4a04aa58e125aeb1d492,104857600
34e5beeea61649d2b6ad6187cbbe999e,104857600
175a6eb9c8f6413992c5cb15dc150701,1048576000
b87716feb84f469c9244e1c46433ca23,104857600
02fcc68e8ef4444490665f23d1b9b42d,2662879724
afba4f4d30f74d408019f119c9183c9d,3145728000
478fd690e87e4a74ad308ac7b717501c,3670016000
f4b9e0ce0ebd401b9c7ca963e70dc66f,104857600
c87b2271dbdd4534b3fdcc73deccc7c9,3670016000
d076711bb5604f4d811bb99b1f4fd7e5,3145728000
78ac35986bf94a758904678709424363,104857600
1edcae1788b44732ad8ec4d67d44debc,2621440000
186c70cceca44f32a8964ea046029dc0,3145728000
993182d3cd544b7692d64930e69ec2bf,2621440000
2dcb85a4d8cd436086e722148784e2c9,5242880000
ffec7a13bd4e48a9a878ca9b8ec69676,1879048192
93365c20471842d291df79f25347e596,975175680
9d8d20012eeb49b48782978126bf8fd6,1048576000
e8f0b31e23d04dcb9cc91e0bd9dba9a1,1073741824
20d6185e6d1d409aa422e4a7b59a8a24,766960728
6c8a44c9326c45bfa1f383afaa5f3be8,5138022400
4ab2f3cfccbf46bf981506f529d2e163,4939212390
87457ae6480f4a01a2bd8392bd1de87b,5242880000
330b27c76a884416975ac41d1a3fd428,5242880000
fa74999b7c354e2e8536a751f4144cc7,104857600
48ce7ac3596a42f3a46561df3a911bcb,4194304000
f678220777d6461b9875e08977e580e9,2817498546
40efa37325574ea8a20a18e2d6a19691,1396757088
832c188134fb448c839306303e2785e5,3355443200
25866ca7db9641beac7bdda37039a188,2029372047
f33172e7881d4a06bfcb47f6d71dff5b,104857600
a632eaf2427f4e5cbfa88da1406cf5ce,2621440000
915a26de3125443f812e62ebee60f9ec,1020054733
9086488090414d69bf57732ccb1e6bed,3145728000
3a2b4218c2744966967238593eed51c9,1048576000
996a643bb3804aa0b0eee1e0f7d50247,1562836808
9aae8711198142af8b7c608d55564dc9,1202590843
e8de5a88148748dd84c5c92dfa112348,709287624
bcecfd6269fe4389b8954188a8ce943b,3145728000
ab3a6b66bd704363a9a9958906fa2c6c,3145728000
1c765fff075448e89fa9a3b4dca203c1,1363652116
dcbc989c20a045169c4da9c4ffaeb518,1417339208
79cccd625bda4c27b1d98f7f143f9091,3144679424
7fdb4e23416742d3b23961cf23506910,1572864000
0b7b92437e1e41c8b79b491e5742161b,2523293286
7260cc01be8f4ab7a56dd792b4d5d542,3538944000
deffcca40e894fe48197227fdeb3e289,269509198
1c61671cdfe64fbbac3e4efbd7fe29b2,3145728000
45efff5d868d486bb96ebfd51e983ed8,3145728000
93ff6c5be53c49e695a6b9625dd6abcc,969885816
44cc1997338b44ba93be4349930436ab,1932735283
e6b16cd162544e149d51b52aa6a8d242,1857573356
e4cd0791578147b68a86343ca5891f78,1048576000
360ad7a0db93491e974b0901f5c561e5,10485760000
d818e2c136544a40b3eaeb69f16b4977,2464153600
edc458e160ff400eb6fc1f05edebaf4e,3113851290
a190c4841a254d3baa561b3731eb04c5,3145728000
d38b52517fcd4fc78a14afd9872b94a0,5242880000
02a26684d9694a8aa81efb3e67cbf1d1,5033164800
3a37c4f7a102425bab62c40bcfc98ee9,1048576000
a2e2b4355ae948a196c8b8588467592f,2097152000
53d40130257d414eae0bbb32908e9273,524288000
419328a8b70e47fa80acc3f90030f8d0,2569011200
d5d2a56294d74c69af1d7ff4003be61c,2621440000
5023bedcee7c4cb38c2d59a7a65a831c,3328599654
b612e662fd0b44f9897538ba00a03d40,2802466161
1de3e927b04e418a9105da97604722ba,3145728000
c19342e5bf6c4f59b63dde65a1f2c909,1048576000
244e9c6e2f3e40849e7f8f11ffff3c47,104857600
e652cf8c5d604feeaf79e11e4bf5cef2,5368709120
807ce34533e8483c8cd77932377a1649,2936012800
7683c37a1624498482f5aaeebdaa80cb,2097152000
52c829deaeb44e97bc6f69c066b25bbc,209715200
5daa5f57141644d3ab3ad6ef4e681c7f,3271557120
91714023c73b4ed79d72f064da657fd2,2097152000
b01fcbac7d804859b5a1ca0439ed77d2,1975684956
9e34b29f05bd4d40a231b3b5a1ba33c2,2181038080
a33c16ecd6a9435fb3287e2aa65b7187,4194304000
2e7ba588c79342bfab7691a944ae50ab,1048576000
d1d19a30d9144876964c4bba1b86e1d7,104857600
2a11287e4bb145d7a92743005077ac6f,1048576000
713246c8479b4e59a8163f9eec5a9b58,2915041280
17ecb0f4853b4322b72ff0a4ed53d778,4823449600
fe69b88decc048eb9b99a18a6a4e24fd,1572864000
d9c95f1e611d4e42a77f2fe0150ef401,2126008812
b002d3eac8a84cec9d5baca2030589b0,104857600
11d2ca50a4374c55b1d1a8b742b299fe,2287070085
696a8ac23e2746d1a89974176c59651d,2097152000
a20fb52264af4b99af3837a35f135cf1,2306867200
